country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Rajasthan,Jaipur,"RIICO Sitapura, Jaipur - RSPCB",19-10-2025 20:00,26.786682,75.827928,PM10,NA,NA,NA
India,Rajasthan,Jaipur,"RIICO Sitapura, Jaipur - RSPCB",19-10-2025 20:00,26.786682,75.827928,NO2,NA,NA,NA
India,Rajasthan,Jaipur,"Sector-2 Murlipura, Jaipur - RSPCB",19-10-2025 20:00,26.960669,75.771817,SO2,1,6,2
India,TamilNadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",19-10-2025 20:00,13.218341,80.32027,NO2,NA,NA,NA
India,TamilNadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",19-10-2025 20:00,13.218341,80.32027,SO2,69,70,70
India,TamilNadu,Chennai,"Kodungaiyur, Chennai - TNPCB",19-10-2025 20:00,13.1278,80.2642,NH3,6,13,8
India,TamilNadu,Chennai,"Manali Village, Chennai - TNPCB",19-10-2025 20:00,13.1662,80.2584,SO2,4,9,7
India,TamilNadu,Chennai,"Manali Village, Chennai - TNPCB",19-10-2025 20:00,13.1662,80.2584,CO,28,60,33
India,TamilNadu,Chennai,"Manali, Chennai - CPCB",19-10-2025 20:00,13.164544,80.26285,OZONE,9,13,11
India,TamilNadu,Chennai,"Perungudi, Chennai - TNPCB",19-10-2025 20:00,12.9533,80.2357,SO2,1,3,2
India,TamilNadu,Chennai,"Velachery Res. Area, Chennai - CPCB",19-10-2025 20:00,13.0052189,80.2398125,NH3,4,6,5
India,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",19-10-2025 20:00,17.540891,78.358528,NH3,3,6,4
India,Telangana,Hyderabad,"Central University, Hyderabad - TSPCB",19-10-2025 20:00,17.460103,78.334361,SO2,3,12,6
India,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",19-10-2025 20:00,17.4559458,78.4332152,OZONE,13,17,14
India,Telangana,Hyderabad,"Somajiguda, Hyderabad - TSPCB",19-10-2025 20:00,17.417094,78.457437,NH3,4,5,5
India,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",19-10-2025 20:00,17.349694,78.451437,OZONE,22,25,24
India,Telangana,Hyderabad,"ECIL Kapra, Hyderabad - TSPCB",19-10-2025 20:00,17.470431,78.566959,SO2,10,17,13
India,Telangana,Hyderabad,"ECIL Kapra, Hyderabad - TSPCB",19-10-2025 20:00,17.470431,78.566959,OZONE,21,33,29
India,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",19-10-2025 20:00,17.5184,78.278777,PM2.5,138,184,162
India,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",19-10-2025 20:00,17.5316895,78.218939,CO,22,96,59
India,Telangana,Hyderabad,"New Malakpet, Hyderabad - TSPCB",19-10-2025 20:00,17.37206,78.50864,SO2,17,24,19
India,West_Bengal,Kolkata,"Ballygunge, Kolkata - WBPCB",19-10-2025 20:00,22.5367507,88.3638022,PM2.5,53,92,69
India,West_Bengal,Kolkata,"Fort William, Kolkata - WBPCB",19-10-2025 20:00,22.55664,88.342674,OZONE,28,83,68
India,West_Bengal,Kolkata,"Jadavpur, Kolkata - WBPCB",19-10-2025 20:00,22.49929,88.36917,NO2,1,35,11
India,West_Bengal,Kolkata,"Rabindra Sarobar, Kolkata - WBPCB",19-10-2025 20:00,22.51106,88.35142,NH3,NA,NA,NA
India,West_Bengal,Kolkata,"Rabindra Sarobar, Kolkata - WBPCB",19-10-2025 20:00,22.51106,88.35142,SO2,NA,NA,NA
India,West_Bengal,Kolkata,"Victoria, Kolkata - WBPCB",19-10-2025 20:00,22.5448082,88.3403691,PM2.5,101,238,178
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",19-10-2025 20:00,28.4706914,77.1099364,CO,59,102,64
India,Delhi,Delhi,"Bawana, Delhi - DPCC",19-10-2025 20:00,28.7762,77.051074,NO2,12,60,38
India,Delhi,Delhi,"Bawana, Delhi - DPCC",19-10-2025 20:00,28.7762,77.051074,SO2,12,35,18
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",19-10-2025 20:00,28.7256504,77.2011573,CO,44,110,59
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",19-10-2025 20:00,28.656756,77.227234,PM2.5,169,336,277
